Date,City,Lat,Lon,Country,Metric,Type,Value,Prev,Prev Date,Scope,Since,Elevation,WMO
2025-09-01,Koraput,,,India,Max Temp,High,35.2,33.8,2009-09-27,Month,1951-01-01,913,43097
2025-09-01,Shimla AP,,,India,Rain,24hrs,108,77.2,2010-09-23,Month,2009-01-01,1546,42084
2025-09-01,Silchar,,,India,Max Temp,High,39.6,39.4,2023-09-05,Month,1900-01-01,20,42619
2025-09-01,Solan (Nauni),,,India,Rain,24hrs,187,140.8,2008-09-20,Month,1951-01-01,1256,42106
2025-08-31,Bhuntar (Kullu),,,India,Rain,Month total,428.3,321.6,,Month,1964-01-01,1084,42081
2025-08-31,Keylong AWS,,,India,Rain,Month total,148.5,,,Month,,3119,-
2025-08-31,Manali,,,India,Rain,Month total,553.4,456.1,,Month,1968-01-01,2039,42065
2025-08-31,Una,,,India,Rain,Month total,780.8,569.5,,Month,1985-01-01,369,42077
2025-08-28,Medak,,,India,Rain,24hrs,180,153.8,2002-08-24,Month,1979-01-01,472,43083
2025-08-27,Durg,,,India,Min Temp,Low,17.8,18,2025-08-23,Month,1970-01-01,293,42876
2025-08-27,Jammu,,,India,Rain,24hrs,380,272.6,1973-08-09,Year,1951-01-01,367,42056
2025-08-26,Jammu,,,India,Max Temp,Low,21.9,22.1,1996-08-24,Month,1969-01-01,367,42056
2025-08-26,Katra,,,India,Max Temp,Low,21,21.6,2013-08-16,Month,1981-01-01,828,42054
2025-08-26,Leh,,,India,Max Temp,Low,5,9.2,2025-08-25,Month,1969-01-01,3513,42034
2025-08-26,Manali,,,India,Rain,24hrs,102,100,1993-08-07,Month,1968-01-01,2039,42065
2025-08-25,Leh,,,India,Max Temp,Low,9.2,13.2,2011-08-24,Month,1969-01-01,3513,42034
2025-08-25,Palayamkottai,,,India,Max Temp,High,39.5,39.4,2011-08-11,Month,1951-01-01,51,43376
2025-08-24,Leh,,,India,Max Temp,Low,13.2,17.2,2011-08-14,Month,1969-01-01,3513,42034
2025-08-23,Durg,,,India,Min Temp,Low,18,18.6,2025-08-17,Month,1970-01-01,293,42876
2025-08-22,Sawai Madhopur,,,India,Rain,24hrs,254,211,2012-08-22,Month,1969-01-01,265,42453
2025-08-19,Chintamani,,,India,Min Temp,Low,17.3,18.2,2008-08-27,Month,,857,43272
2025-08-19,Gadag,,,India,Min Temp,Low,16.2,18.3,1965-08-15,Month,1950-01-01,650,43201
2025-08-18,Visakhapatnam AP,,,India,Rain,24hrs,109,95.5,1993-08-31,Month,1908-01-01,3,43149
2025-08-17,Durg,,,India,Min Temp,Low,18.6,19,2024-08-03,Month,1970-01-01,293,42876
2025-08-14,Nandigama,,,India,Rain,24hrs,191.4,136.5,2008-08-09,Month,1989-01-01,52,43182
2025-08-14,Nandigama,,,India,Rain,24hrs,191.4,174.1,1990-10-02,Year,1989-01-01,52,43182
2025-08-14,Vijaywada AP  (Gannavaram),,,India,Rain,24hrs,129.6,122.7,2024-08-31,Month,1951-01-01,21,43181
2025-08-13,Bapatla,,,India,Rain,24hrs,135,132.5,2000-08-23,Month,1979-01-01,6,43220
2025-08-13,Koraput,,,India,Max Temp,High,34.8,34.5,2025-08-04,Month,1951-01-01,913,43097
2025-08-13,Kupwara,,,India,Min Temp,High,24,22.5,1982-08-07,Month,1977-01-01,1609,42031
2025-08-13,Kupwara,,,India,Min Temp,High,24,23.4,1993-10-09,Year,1977-01-01,1609,42031
2025-08-13,Matheran,,,India,Min Temp,Low,18.4,18.5,1976-08-25,Month,1974-01-01,696,43060
2025-08-13,Pahalgam,,,India,Min Temp,High,20,19.5,2025-08-12,Month,1978-01-01,2310,42028
2025-08-13,Srinagar,,,India,Min Temp,High,24.7,24.2,1983-08-01,Month,1969-01-01,1585,42027
2025-08-13,Tirupati,,,India,Max Temp,Low,26,26.4,2000-08-23,Month,1973-01-01,103,43275
2025-08-12,Pahalgam,,,India,Min Temp,High,19.5,19,2009-08-14,Month,1978-01-01,2310,42028
2025-08-06,Karur Paramathi,,,India,Min Temp,Low,19.5,15,,Month,1977-01-01,182,43342
2025-08-05,Shahjahanpur,,,India,Rain,24hrs,150,139.4,1986-08-20,Month,1977-01-01,155,42266
2025-08-04,Koraput,,,India,Max Temp,High,34.5,33.2,2025-08-01,Month,1951-01-01,913,43097
2025-08-01,Golaghat,,,India,Min Temp,High,29,28,2024-08-29,Month,1969-01-01,95,42420
2025-08-01,Koraput,,,India,Max Temp,High,33.2,31.6,2016-08-30,Month,1951-01-01,913,43097
2025-07-30,Guna,,,India,Rain,24hrs,323,293.4,1958-07-25,Month,1946-01-01,478,42559
2025-07-29,Gangtok,,,India,Rain,24hrs,123.4,117.5,1979-07-23,Month,1958-01-01,1756,42299
2025-07-29,Raisen,,,India,Max Temp,Low,23.6,24,,Month,1971-01-01,440,42672
2025-07-29,Tadong,,,India,Rain,24hrs,124.6,117,2005-07-06,Month,1977-01-01,1322,42217
2025-07-28,Durg,,,India,Min Temp,Low,18.2,26,,Month,1970-01-01,293,42876
2025-07-26,Durg,,,India,Min Temp,Low,18.2,18.6,2024-07-29,Month,1970-01-01,293,42876
